StudentID,CourseCode,TestNumber,TestDate,SyllabusCovered,MaxMarks,MarksObtained
1RV22AI001,CD252IA,1,2023-08-01,33%,50,47
1RV22AI001,CD252IA,2,2023-08-31,33%,50,36
1RV22AI001,CD252IA,3,2023-09-30,33%,50,41
1RV22AI001,CD252IA,4,2023-10-30,100%,100,76
1RV22AI001,AI255TBA,1,2023-08-01,33%,50,37
1RV22AI001,AI255TBA,2,2023-08-31,33%,50,36
1RV22AI001,AI255TBA,3,2023-09-30,33%,50,40
1RV22AI001,AI255TBA,4,2023-10-30,100%,100,96
1RV22AI001,AI254TA,1,2023-08-01,33%,50,38
1RV22AI001,AI254TA,2,2023-08-31,33%,50,43
1RV22AI001,AI254TA,3,2023-09-30,33%,50,41
1RV22AI001,AI254TA,4,2023-10-30,100%,100,77
1RV22AI001,AI253IA,1,2023-08-01,33%,50,41
1RV22AI001,AI253IA,2,2023-08-31,33%,50,33
1RV22AI001,AI253IA,3,2023-09-30,33%,50,43
1RV22AI001,AI253IA,4,2023-10-30,100%,100,85
1RV22AI001,HS251TA,1,2023-08-01,33%,50,46
1RV22AI001,HS251TA,2,2023-08-31,33%,50,43
1RV22AI001,HS251TA,3,2023-09-30,33%,50,33
1RV22AI001,HS251TA,4,2023-10-30,100%,100,95
1RV22AI002,CD252IA,1,2023-08-01,33%,50,44
1RV22AI002,CD252IA,2,2023-08-31,33%,50,40
1RV22AI002,CD252IA,3,2023-09-30,33%,50,43
1RV22AI002,CD252IA,4,2023-10-30,100%,100,79
1RV22AI002,AI255TBA,1,2023-08-01,33%,50,35
1RV22AI002,AI255TBA,2,2023-08-31,33%,50,42
1RV22AI002,AI255TBA,3,2023-09-30,33%,50,44
1RV22AI002,AI255TBA,4,2023-10-30,100%,100,74
1RV22AI002,AI254TA,1,2023-08-01,33%,50,45
1RV22AI002,AI254TA,2,2023-08-31,33%,50,48
1RV22AI002,AI254TA,3,2023-09-30,33%,50,48
1RV22AI002,AI254TA,4,2023-10-30,100%,100,79
1RV22AI002,AI253IA,1,2023-08-01,33%,50,35
1RV22AI002,AI253IA,2,2023-08-31,33%,50,48
1RV22AI002,AI253IA,3,2023-09-30,33%,50,41
